Step,Acc,Loss
1329,0.891,0.33
1330,0.938,0.2
1331,0.938,0.2
1332,0.891,0.35
1333,0.891,0.35
1334,0.875,0.3
1335,0.875,0.3
1336,0.781,0.55
1337,0.781,0.55
1338,0.922,0.38
1339,0.922,0.38
1340,0.906,0.3
1341,0.906,0.3
1342,0.859,0.51
1343,0.859,0.51
1344,0.859,0.5
1345,0.859,0.5
1346,0.922,0.34
1347,0.922,0.34
1348,0.922,0.29
1349,0.922,0.29
1350,0.938,0.3
1351,0.938,0.3
1352,0.906,0.32
1353,0.906,0.32
1354,0.906,0.3
1355,0.906,0.3
1356,0.938,0.25
1357,0.938,0.25
1358,0.859,0.48
1359,0.859,0.48
